,Title,Production Budget,Worldwide,Domestic,Foreign,Year,Awards,Genre,Production,Rated,Imdb Rating
384,American Made,"$50,000,000","$134,866,593","$51,342,000","$83,524,593",2017,3 nominations.,"Action, Biography, Comedy, Crime",Universal Pictures,R,7.1
385,A Bad Moms Christmas,"$28,000,000","$130,560,428","$72,110,659","$58,449,769",2017,1 win & 1 nomination.,Comedy,STXfilms,R,5.6
386,Happy Death Day,"$5,000,000","$125,479,266","$55,683,845","$69,795,421",2017,3 nominations.,"Horror, Mystery, Thriller",Universal Studios,PG-13,6.5
387,Captain Underpants: The First Epic Movie,"$38,000,000","$125,427,681","$73,921,000","$51,506,681",2017,3 wins & 13 nominations.,"Animation, Action, Comedy, Family",20th Century Fox,PG,6.2
388,The Lego Ninjago Movie,"$70,000,000","$123,081,555","$59,281,555","$63,800,000",2017,7 nominations.,"Animation, Action, Adventure, Comedy, Family",Warner Bros. Pictures,PG,6.0
389,The Commuter,"$40,000,000","$119,942,387","$36,343,858","$83,598,529",2018,1 nomination.,"Action, Mystery, Thriller",Lionsgate,PG-13,6.3
390,The Dark Tower,"$60,000,000","$113,231,078","$50,701,325","$62,529,753",2017,4 nominations.,"Action, Adventure, Fantasy, Horror, Sci-Fi, Western",Sony Pictures,PG-13,5.6
391,Atomic Blonde,"$30,000,000","$100,014,025","$51,687,870","$48,326,155",2017,10 wins & 17 nominations.,"Action, Mystery, Thriller",Focus Features,R,6.7
392,Rings,"$25,000,000","$83,080,890","$27,793,018","$55,287,872",2017,2 wins.,"Drama, Horror, Mystery, Romance",Paramount Pictures,PG-13,4.5
393,Lady Bird,"$10,000,000","$78,965,611","$48,958,273","$30,007,338",2017,Nominated for 5 Oscars. Another 119 wins & 218 nominations.,"Comedy, Drama",A24,R,7.4
394,The Nut Job 2: Nutty by Nature,"$40,000,000","$68,743,485","$28,370,522","$40,372,963",2017,1 win & 3 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Open Road Films,PG,5.4
395,American Assassin,"$63,000,000","$67,234,188","$36,249,674","$30,984,514",2017,2 nominations.,"Action, Thriller",Lionsgate and CBS Films,R,6.2
396,The Star,"$20,000,000","$62,812,974","$40,852,824","$21,960,150",2017,Nominated for 1 Golden Globe. Another 2 wins & 5 nominations.,"Animation, Adventure, Comedy, Family, Fantasy",Sony Pictures Animation,PG,6.2
397,How to Be a Latin Lover,"$10,000,000","$62,547,032","$32,149,404","$30,397,628",2017,2 wins & 2 nominations.,"Comedy, Drama",Pantelion Films,PG-13,5.9
398,"Everything, Everything","$10,000,000","$61,621,140","$34,121,140","$27,500,000",2017,1 win & 5 nominations.,"Drama, Romance",Warner Bros. Pictures,PG-13,6.4
399,Snatched,"$42,000,000","$60,845,711","$45,852,178","$14,993,533",2017,1 win & 2 nominations.,"Action, Adventure, Comedy",20th Century Fox,R,4.5
